team name,salary,playoffs,finals
LA Clippers,192905421,1,0
Golden State,192386134,1,0
Milwaukee,182930771,1,0
Boston,178633307,1,1
Dallas,177244238,0,0
Phoenix,176042453,1,0
LA Lakers,169391473,1,1
Denver,162338665,1,1
Brooklyn,159566723,1,0
Washington,152008934,0,0
Cleveland,151966241,1,0
Chicago,151964990,0,0
Miami,151408266,1,1
Toronto,150992313,0,0
Philadelphia,150496913,1,0
Atlanta,149836313,1,0
New York,148987936,1,0
Oklahoma City,148856338,0,0
Utah,148738241,0,0
New Orleans,148360910,0,0
Minnesota,145793656,1,0
Portland,144997250,0,0
Sacramento,139423615,1,0
Houston,137579793,0,0
Detroit,129153570,0,0
Memphis,127139520,1,0
Orlando,126107324,0,0
Charlotte,125874047,0,0
Indiana,125706114,0,0
San Antonio,104545376,0,0
