team name,salary,playoffs,finals
Oklahoma City,132017938 ,1,0
Portland,131979953 ,1,0
LA Clippers,131506341 ,1,0
Cleveland,131059022 ,0,0
Philadelphia,129912339 ,1,0
Miami,129867871 ,1,1
Golden State,129254928 ,0,0
Denver,128746180 ,1,1
Houston,128109922 ,1,0
Orlando,126095610 ,1,0
LA Lakers,123971686 ,1,1
Milwaukee,122612183 ,1,0
Toronto,122463495 ,1,0
Washington,121296256 ,0,0
Dallas,120871082 ,1,0
San Antonio,119217331 ,0,0
Utah,118910311 ,1,0
Brooklyn,118889943 ,1,0
New Orleans,117868297 ,0,0
Boston,117759332 ,1,1
Minnesota,114202982 ,0,0
Sacramento,113796966 ,0,0
Indiana,112872260 ,1,0
Chicago,112601901 ,0,0
Atlanta,110702618 ,0,0
Detroit,104527576 ,0,0
New York,100232129 ,0,0
Phoenix,98539675 ,0,0
Memphis,98495848 ,0,0
Charlotte,96552033 ,0,0
