team name,salary,playoffs,finals
Golden State,171105334 ,0,0
Brooklyn,170444633 ,1,0
Philadelphia,147825311 ,1,0
LA Clippers,139722606 ,1,1
LA Lakers,139334713 ,1,0
Utah,136881324 ,1,0
Milwaukee,136623929 ,1,1
Miami,134731235 ,1,0
New Orleans,133901495 ,0,0
Boston,132931565 ,1,0
Memphis,132022601 ,1,0
Portland,131904647 ,1,0
Houston,131784255 ,0,0
Washington,131294012 ,1,0
Minnesota,130334934 ,0,0
Indiana,130237102 ,0,0
Denver,129793210 ,1,0
Cleveland,129605319 ,0,0
San Antonio,129537825 ,0,0
Toronto,129131910 ,0,0
Chicago,128963580 ,0,0
Phoenix,128858241 ,1,1
Dallas,127657823 ,1,0
Orlando,121739163 ,0,0
Atlanta,118804016 ,1,1
Detroit,117041599 ,0,0
Charlotte,108218809 ,0,0
Sacramento,106847430 ,0,0
New York,102137151 ,1,0
Oklahoma City,95774839 ,0,0
